관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여
무등산국립공원,광주 동구,1,0,1,1,1,1,1,1,0,0,0,0
1913송정역시장,광주 광산구,1,0,1,1,1,1,0,0,0,0,0,0
남도향토음식박물관·호남문화자료전시관,광주 북구,1,1,1,1,0,0,0,1,0,0,0,0
광주호 호수생태원,광주 북구,1,0,1,1,0,0,1,1,0,0,0,1
운천저수지,광주 서구,1,0,0,1,0,0,0,1,0,1,0,0
증심사(광주),광주 동구,1,0,0,0,0,0,0,0,0,0,0,0
무각사,광주 서구,1,0,1,1,0,0,0,0,0,0,0,0
패밀리농원,광주 북구,0,0,0,1,0,0,0,0,0,0,0,0
수자타,광주 동구,0,0,1,1,0,0,0,1,0,0,0,0
원효사,광주 북구,1,0,0,1,0,0,0,0,0,0,0,0
가매,광주 서구,0,0,1,1,0,0,0,0,0,0,0,0
장가계,광주 북구,0,0,0,1,0,0,0,0,0,0,0,0
국립광주박물관,광주 북구,1,1,1,1,0,0,1,1,0,1,0,1
종가집설렁탕,광주 서구,0,0,0,1,0,0,0,0,0,0,0,0
명지원,광주 서구,0,0,1,1,0,0,0,0,0,0,0,0
광주학생독립운동기념회관,광주 서구,1,1,1,1,0,0,0,1,0,0,0,0
광주 예술의 거리,광주 동구,0,0,1,1,1,1,0,0,0,0,0,0
중외공원,광주 북구,1,0,1,1,0,0,0,0,0,0,0,0
광주 대인시장 / 대인예술시장,광주 동구,1,0,1,1,0,0,0,0,0,0,0,0
5·18 기념공원,광주 서구,1,0,1,1,1,1,0,1,1,0,0,0
양동시장,광주 서구,1,0,1,1,1,1,0,1,0,0,0,0
충민사,광주 북구,1,0,0,1,0,0,0,0,0,0,0,0
광주시립미술관,광주 북구,1,1,1,1,0,0,1,1,0,1,0,1
광주 우치공원 동물원,광주 북구,1,0,1,1,0,0,1,0,0,1,0,0
국립광주과학관,광주 북구,1,1,1,1,1,1,1,1,0,1,0,1
지산유원지,광주 동구,1,0,1,0,0,0,0,0,0,0,0,0
사직단,광주 남구,1,0,0,1,0,0,0,0,0,0,0,0
KBC 광주방송,광주 남구,1,1,1,1,0,0,0,0,0,0,0,0
광주무역회관,광주 광산구,1,1,1,1,0,0,0,1,0,0,0,0
광산문화원,광주 광산구,1,0,1,1,0,0,0,0,0,0,0,0
영산강문화관,광주 남구,1,1,1,1,0,0,1,1,0,0,0,1
광주-기아 챔피언스 필드,광주 북구,1,1,1,0,0,0,0,0,0,1,0,0
광주월드컵경기장,광주 서구,1,1,1,1,0,0,0,1,0,0,0,0
김대중컨벤션센터,광주 서구,1,1,1,1,1,1,1,0,0,1,0,1
광주광역시립 사직도서관,광주 남구,1,1,1,1,0,0,0,1,0,0,0,0
광주중앙도서관,광주 동구,1,1,1,1,0,0,0,1,0,0,0,0
광주광역시립무등도서관,광주 북구,1,1,1,1,0,0,0,0,0,0,0,0
광주 송정도서관,광주 광산구,0,1,1,1,0,0,0,1,0,0,0,0
광주광역시립산수도서관,광주 동구,1,1,1,1,0,0,0,0,0,0,0,0
금호평생교육관,광주 남구,1,1,1,1,0,0,0,1,0,0,0,0
광주 충효동 왕버들 군,광주 북구,1,0,1,1,0,0,0,1,0,0,0,0
광주학생교육문화회관,광주 서구,1,1,1,1,0,0,0,1,0,0,0,0
광주광역시 서구문화원,광주 서구,0,0,1,1,0,0,0,1,0,0,0,0
우제길미술관,광주 동구,0,0,1,1,0,0,0,0,0,0,0,0
사직공원(광주),광주 남구,1,0,1,1,0,0,0,0,0,0,0,0
현충탑(광주),광주 남구,0,0,0,1,0,0,0,0,0,0,0,0
광주호,광주 북구,1,0,1,1,0,0,1,0,0,0,0,1
광주 북구문화원,광주 북구,1,1,1,1,0,0,0,1,0,0,0,0
광주 남구문화원,광주 남구,1,1,1,1,0,0,0,1,0,0,0,0
무등현대미술관,광주 동구,1,0,1,1,0,0,0,0,0,0,0,0
송산근린공원,광주 광산구,1,0,1,1,0,0,0,0,0,0,0,0
광주시청 야외음악당,광주 서구,1,0,1,1,0,0,0,0,0,0,0,0
광주공원(구동공원),광주 남구,1,0,1,0,0,0,0,0,0,0,0,0
광주향교,광주 남구,0,0,0,1,0,0,0,0,0,0,0,0
포충사,광주 남구,1,0,0,0,0,0,0,0,0,0,0,0
광주 충효동 요지,광주 북구,1,1,1,1,0,0,0,0,0,0,0,0
고싸움놀이전수회관,광주 남구,1,0,1,1,0,0,0,0,0,0,0,0
빛고을시민문화관,광주 남구,1,1,1,1,0,0,0,1,0,0,0,0
옥과한우촌 (상무점),광주 서구,0,0,0,1,0,0,0,0,0,0,0,0
국립 5.18 민주묘지,광주 북구,1,0,1,1,0,0,1,1,0,0,0,1
광주실내빙상장,광주 서구,1,0,1,1,0,0,0,0,0,0,0,0
금남로지하상가,광주 동구,1,0,1,1,0,0,0,1,0,1,0,0
상무시민공원,광주 서구,1,0,1,1,0,0,0,1,0,0,0,0
풍암저수지 (풍암호수),광주 서구,1,0,1,1,0,0,0,1,0,0,0,0
5·18 자유공원,광주 서구,1,0,1,1,0,0,0,1,0,0,0,0
광주패밀리랜드,광주 북구,1,0,1,0,0,0,1,0,0,0,0,1
충장로,광주 동구,1,0,1,1,1,1,1,0,0,0,0,0
광주 경찰충혼탑,광주 남구,1,0,0,0,0,0,0,0,0,0,0,0
전평제,광주 서구,1,0,0,1,0,0,0,1,0,0,0,0
광주시립민속박물관,광주 북구,1,1,1,1,0,0,0,1,0,0,0,0
무등갤러리,광주 동구,1,0,1,1,0,0,0,0,0,0,0,0
의재미술관,광주 동구,1,1,1,1,0,0,0,0,0,0,0,0
쌍암공원,광주 광산구,1,0,1,1,0,0,0,1,0,0,0,0
광주문화예술회관,광주 북구,1,1,1,1,1,1,1,1,0,1,0,0
남해가든,광주 남구,0,0,0,1,0,0,0,0,0,0,0,0
광주공원 사적비군,광주 남구,1,0,0,0,0,0,0,0,0,0,0,0
롯데아울렛 광주월드컵점,광주 서구,1,1,1,1,0,0,1,1,0,1,0,1
녹색에너지체험관 (광주전남지역본부),광주 북구,1,1,1,1,1,1,0,1,0,0,0,0
"장전미술관 (구, 남진미술관)",전남 진도군,0,0,1,1,0,0,0,1,0,0,0,0
한국가사문학관,전남 담양군,1,1,1,1,0,0,0,0,0,0,0,0
하늘빛수목원,전남 장흥군,1,0,1,0,1,1,1,0,0,0,0,0
장성 축령산 편백숲 (장성 치유의 숲),전남 장성군,1,0,0,1,0,0,0,0,0,0,0,0
편백숲 우드랜드,전남 장흥군,1,0,1,1,0,0,1,1,0,0,0,1
목포어린이바다과학관,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1
정남진(장흥),전남 장흥군,1,0,1,1,0,0,0,1,0,0,0,0
선비촌,전남 순천시,0,0,0,1,0,0,0,0,0,0,0,0
보성 강골마을,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
담양펜션,전남 담양군,0,0,0,1,0,0,0,0,0,0,0,0
오시아노 관광단지,전남 해남군,1,0,1,1,0,0,0,0,0,0,0,0
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,1,0,1,1,0,0,1,1,0,0,0,0
